36640;36150;37000;36970;36800
36150;37000;36970;36800;36550
37000;36970;36800;36550;34000
36970;36800;36550;34000;33400
36800;36550;34000;33400;33000
36550;34000;33400;33000;33000
34000;33400;33000;33000;33200
33400;33000;33000;33200;32900
33000;33000;33200;32900;31180
33000;33200;32900;31180;31300
33200;32900;31180;31300;32280
32900;31180;31300;32280;32500
31180;31300;32280;32500;31500
31300;32280;32500;31500;31700
32280;32500;31500;31700;32000
32500;31500;31700;32000;31340
31500;31700;32000;31340;31000
31700;32000;31340;31000;31320
32000;31340;31000;31320;32040
31340;31000;31320;32040;33040
31000;31320;32040;33040;33630
31320;32040;33040;33630;34000
32040;33040;33630;34000;33200
33040;33630;34000;33200;33680
33630;34000;33200;33680;33200
34000;33200;33680;33200;32500
33200;33680;33200;32500;33300
33680;33200;32500;33300;33100
33200;32500;33300;33100;33200
32500;33300;33100;33200;33400
33300;33100;33200;33400;34050
33100;33200;33400;34050;34480
33200;33400;34050;34480;34600
33400;34050;34480;34600;34800
34050;34480;34600;34800;34000
34480;34600;34800;34000;33910
34600;34800;34000;33910;33900
34800;34000;33910;33900;33390
34000;33910;33900;33390;33380
33910;33900;33390;33380;32950
33900;33390;33380;32950;32820
33390;33380;32950;32820;33250
33380;32950;32820;33250;33200
32950;32820;33250;33200;32990
32820;33250;33200;32990;33080
33250;33200;32990;33080;32700
33200;32990;33080;32700;32400
32990;33080;32700;32400;32800
33080;32700;32400;32800;31600
32700;32400;32800;31600;31230
32400;32800;31600;31230;30820
32800;31600;31230;30820;30700
31600;31230;30820;30700;31280
31230;30820;30700;31280;31270
30820;30700;31280;31270;31610
30700;31280;31270;31610;32020
31280;31270;31610;32020;32000
31270;31610;32020;32000;32000
31610;32020;32000;32000;32200
32020;32000;32000;32200;32090
32000;32000;32200;32090;32000
32000;32200;32090;32000;32000
32200;32090;32000;32000;31900
32090;32000;32000;31900;31980
32000;32000;31900;31980;31790
32000;31900;31980;31790;30660
31900;31980;31790;30660;31390
31980;31790;30660;31390;31490
31790;30660;31390;31490;30930
30660;31390;31490;30930;31530
31390;31490;30930;31530;31890
31490;30930;31530;31890;31760
30930;31530;31890;31760;31730
31530;31890;31760;31730;31400
31890;31760;31730;31400;31530
31760;31730;31400;31530;31500
31730;31400;31530;31500;31990
31400;31530;31500;31990;31750
31530;31500;31990;31750;31820
31500;31990;31750;31820;32000
31990;31750;31820;32000;32540
31750;31820;32000;32540;33300
31820;32000;32540;33300;32690
32000;32540;33300;32690;32310
32540;33300;32690;32310;32400
33300;32690;32310;32400;32470
32690;32310;32400;32470;32300
32310;32400;32470;32300;32420
32400;32470;32300;32420;32500
32470;32300;32420;32500;33550
32300;32420;32500;33550;34000
32420;32500;33550;34000;33300
32500;33550;34000;33300;31900
33550;34000;33300;31900;32310
34000;33300;31900;32310;32130
33300;31900;32310;32130;31500
31900;32310;32130;31500;
32310;32130;31500;;
32130;31500;;;
31500;;;;
